Model,Outcome,N_Obs_With_Imputation,N_Subjects_With_Imputation,N_Obs_Original,N_Subjects_Original,Obs_Gained,Subjects_Gained
stages,TOTIDE1,22352,2309,9424,2297,12928,12
stages,TOTIDE2,22352,2309,9419,2297,12933,12
symptoms,TOTIDE2_NUMHOTF_log,15773,1628,2889,1487,12884,141
symptoms,TOTIDE2_NUMNITS_log,12557,1304,2086,1158,10471,146
symptoms,TOTIDE2_NUMCLDS_log,5013,525,606,430,4407,95
symptoms,TOTIDE2_MOODCHG_sqrt,21945,2309,9256,2289,12689,20
symptoms,TOTIDE2_IRRITAB_sqrt,21937,2309,9256,2289,12681,20
symptoms,TOTIDE2_SLEEPQL_sqrt,22335,2307,9184,2284,13151,23
symptoms,TOTIDE2_STIFF,21952,2309,9260,2289,12692,20
social,cognitive_function,17924,2309,6921,2285,11003,24
